trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'e': 0.9506247629075899, 'a': 0.9506247629075899}",30,0,-97.17780363700447,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
41,False,"{'e': 0.9491210105366658, 'a': 0.9491210105366658}",25,0,-112.38733292360997,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
42,False,"{'e': 0.9476022206420324, 'a': 0.9476022206420324}",20,0,-109.67740492759492,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
43,False,"{'e': 0.9460682428484527, 'a': 0.9460682428484527}",30,14,-166.40678536028832,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 3}",1
44,False,"{'e': 0.9445189252769373, 'a': 0.9445189252769373}",20,2,-130.18353777346374,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 3}",1
45,False,"{'e': 0.9429541145297067, 'a': 0.9429541145297067}",25,0,-134.65116578213036,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
46,False,"{'e': 0.9413736556750038, 'a': 0.9413736556750038}",30,0,-114.62878773041436,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
47,False,"{'e': 0.9397773922317538, 'a': 0.9397773922317538}",30,0,-88.47035155562274,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
48,False,"{'e': 0.9381651661540714, 'a': 0.9381651661540714}",20,0,-68.38833965447401,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'e': 0.9365368178156122, 'a': 0.9365368178156122}",20,0,-109.36280350510252,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
50,False,"{'e': 0.9348921859937682, 'a': 0.9348921859937682}",25,0,-110.8865774553999,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
51,False,"{'e': 0.9332311078537059, 'a': 0.9332311078537059}",25,0,-95.50604024577508,"{0: 11, 1: 6, 2: 8, 3: 0, 4: 0}",0
52,False,"{'e': 0.931553418932243, 'a': 0.931553418932243}",30,0,-123.3555907596052,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
53,False,"{'e': 0.9298589531215654, 'a': 0.9298589531215654}",20,0,-129.37390256398456,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
54,False,"{'e': 0.9281475426527811, 'a': 0.9281475426527811}",30,9,-132.0749743704366,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 2}",1
55,False,"{'e': 0.9264190180793089, 'a': 0.9264190180793089}",20,0,-104.63630982963329,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
56,False,"{'e': 0.924673208260102, 'a': 0.924673208260102}",20,0,-168.29429311026257,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
57,False,"{'e': 0.922909940342703, 'a': 0.922909940342703}",20,1,-51.26783025685184,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
58,False,"{'e': 0.92112903974613, 'a': 0.92112903974613}",20,0,-143.15429738714232,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
59,False,"{'e': 0.9193303301435913, 'a': 0.9193303301435913}",20,0,-151.87951606850223,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
60,False,"{'e': 0.9175136334450272, 'a': 0.9175136334450272}",20,0,-102.13451739491744,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
61,False,"{'e': 0.9156787697794775, 'a': 0.9156787697794775}",20,7,-66.27634268984404,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
